"date","county","county.1","date.1","alive.total","alive.suspect","alive.probable","dead.total","cum.total","cum.suspect","cum.probable","cum.confirm","cum.death","new.hcw.cases","new.hcw.deaths","cum.hcw.cases","cum.hcw.deaths","new.contacts","under.followup","seen.on.day","completed.21d.followup","lost.followup","alive.confirm","dead.suspect","dead.probable","dead.community","dead.patients"
2014-12-05,"Maryland","Maryland",2014-12-05,0,0,0,0,21,15,2,4,17,NA,NA,1,0,0,16,16,0,0,0,0,0,0,0
2014-12-05,"Montserrado","Montserrado",2014-12-05,19,3,16,3,4149,1733,786,1630,1688,NA,NA,179,80,88,3448,3445,141,0,2,3,0,1,3
2014-12-05,"National","National",2014-12-05,34,13,21,11,7731,3056,1808,2867,3206,NA,NA,366,174,119,6109,5847,166,30,3,10,1,1,3
2014-12-05,"Nimba","Nimba",2014-12-05,5,5,0,1,322,80,128,114,53,NA,NA,12,2,0,0,0,0,0,0,1,0,0,0
2014-12-05,"River Cess","River Cess",2014-12-05,0,0,0,0,41,9,12,20,26,NA,NA,0,0,0,0,0,6,0,0,0,0,0,0
2014-12-05,"River Gee","River Gee",2014-12-05,0,0,0,0,19,7,5,7,8,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0
2014-12-05,"Sinoe","Sinoe",2014-12-05,0,0,0,0,37,18,3,16,14,NA,NA,1,0,0,46,46,0,0,0,0,0,0,0
2014-12-06,"Bomi","Bomi",2014-12-06,1,0,1,0,293,83,75,135,158,NA,NA,18,14,0,112,112,0,0,0,0,0,0,0
2014-12-06,"Bong","Bong",2014-12-06,2,0,2,0,557,390,32,135,124,NA,NA,41,16,0,100,100,20,0,0,0,0,0,0
2014-12-06,"Gbarpolu","Gbarpolu",2014-12-06,0,0,0,0,38,25,3,10,10,NA,NA,0,0,0,0,0,8,0,0,0,0,0,0
2014-12-06,"Grand Bassa","Grand Bassa",2014-12-06,0,0,0,0,156,41,75,40,65,NA,NA,8,4,0,70,58,0,12,2,0,0,0,0
